"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)","4.6.01590","Microsoft Corporation","20251007"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20231016"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","Microsoft Corporation","20231016"
"Microsoft .NET Framework 4.8 SDK","4.8.04084","Microsoft Corporation","20200728"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.04084","Microsoft Corporation","20200728"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","Microsoft Corporation","20231016"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","Microsoft Corporation","20231016"
"Microsoft .NET Host - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","20241112"
"Microsoft .NET Host - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","20240528"
"Microsoft .NET Host - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Host - 8.0.22 (x86)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Host - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Host - 9.0.11 (x86)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","20241112"
"Microsoft .NET Host FX Resolver - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","20240528"
"Microsoft .NET Host FX Resolver - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Host FX Resolver - 8.0.22 (x86)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Host FX Resolver - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Host FX Resolver - 9.0.11 (x86)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","20241112"
"Microsoft .NET Runtime - 6.0.36 (x64)","6.0.36.34214","Microsoft Corporation",
"Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","20240528"
"Microsoft .NET Runtime - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Runtime - 8.0.22 (x64)","8.0.22.35427","Microsoft Corporation",
"Microsoft .NET Runtime - 8.0.22 (x86)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Runtime - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Runtime - 9.0.11 (x86)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET SDK 8.0.416 (x64)","8.4.1625.52802","Microsoft Corporation",
"Microsoft .NET SDK 9.0.112 (x64)","9.1.1225.52112","Microsoft Corporation",
"Microsoft .NET SDK 9.0.307 (x64)","9.3.725.52111","Microsoft Corporation",
"Microsoft .NET SDK 9.0.307 (x64) from Visual Studio","9.3.725.52111","Microsoft Corporation","20251111"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20231016"
"Microsoft .NET Targeting Pack - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Targeting Pack - 8.0.22 (x86)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET Targeting Pack - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Targeting Pack - 9.0.11 (x86)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Toolset 8.0.416 (x64)","32.13.62978","Microsoft Corporation","20251111"
"Microsoft .NET Toolset 9.0.112 (x64)","36.11.62288","Microsoft Corporation","20251111"
"Microsoft .NET Toolset 9.0.307 (x64)","36.9.62287","Microsoft Corporation","20251111"
"Microsoft 365 - en-us","16.0.19426.20186","Microsoft Corporation",
"Microsoft Analysis Services OLE DB Provider","16.0.5143.0","Microsoft Corporation","20250222"
"Microsoft Analysis Services OLE DB Provider","16.0.5143.0","Microsoft Corporation","20250222"
"Microsoft ASP.NET Core 2.0.6 Runtime Package Store (x64)","2.0.12620.0","Microsoft Corporation","20230112"
"Microsoft ASP.NET Core 2.0.6 Runtime Package Store (x86)","2.0.12620.0","Microsoft Corporation","20230112"
"Microsoft ASP.NET Core 3.1.32 - Shared Framework (x64)","3.1.32.22566","Microsoft Corporation",
"Microsoft ASP.NET Core 3.1.32 - Shared Framework (x86)","3.1.32.22566","Microsoft Corporation",
"Microsoft ASP.NET Core 3.1.32 Hosting Bundle Options","3.1.32.22566","Microsoft Corporation","20250916"
"Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)","3.1.32.22566","Microsoft Corporation","20250916"
"Microsoft ASP.NET Core 3.1.32 Shared Framework (x86)","3.1.32.22566","Microsoft Corporation","20250916"
"Microsoft ASP.NET Core 8.0.22 - Shared Framework (x86)","8.0.22.25528","Microsoft Corporation",
"Microsoft ASP.NET Core 8.0.22 Shared Framework (x64)","8.0.22.25528","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 8.0.22 Shared Framework (x86)","8.0.22.25528","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 8.0.22 Targeting Pack (x64)","8.0.22.25528","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 8.0.22 Targeting Pack (x86)","8.0.22.25528","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 9.0.11 Shared Framework (x64)","9.0.11.25520","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 9.0.11 Shared Framework (x86)","9.0.11.25520","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 9.0.11 Targeting Pack (x64)","9.0.11.25520","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core 9.0.11 Targeting Pack (x86)","9.0.11.25520","Microsoft Corporation","20251111"
"Microsoft ASP.NET Core Module","1.0.1990","Microsoft Corporation","20230112"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20231016"
"Microsoft ASP.NET Core Module V2","13.1.22321.0","Microsoft Corporation","20250916"
"Microsoft ASP.NET Core Module V2 for IIS Express","18.0.23305.0","Microsoft Corporation","20240218"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.14.128.55757","Microsoft Corporation","20251014"
"Microsoft ASP.NET MVC 2","2.0.60926.0","Microsoft Corporation","20210130"
"Microsoft ASP.NET Web Tools Packages 17.0 - ENU","17.0.50411.0","Microsoft Corporation","20250802"
"Microsoft Bing Service","2.0.0.8","Microsoft Corporation","20230612"
"Microsoft Build of OpenJDK  11.0.28+6 (x64)","11.0.28.6","Microsoft","20250831"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20231016"
"Microsoft Deployment Toolkit (6.3.8456.1000)","6.3.8456.1000","Microsoft Corporation","20220812"
"Microsoft Edge","143.0.3650.80","Microsoft Corporation","20251213"
"Microsoft Edge WebView2 Runtime","143.0.3650.80","Microsoft Corporation","20251212"
"Microsoft Help Viewer 2.3","2.3.28307","Microsoft Corporation","20250222"
"Microsoft Help Viewer 2.3","2.3.36015","Microsoft Corporation",
"Microsoft Module Browser","1.0.0","Microsoft Corporation","20210318"
"Microsoft NetStandard SDK","15.0.51105","Microsoft Corporation","20240107"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20240410"
"Microsoft Office Telemetry Processor (x64)","16.0.14931.20724","Microsoft Corporation","20220930"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","20240710"
"Microsoft OneDrive","25.222.1112.0002","Microsoft Corporation",
"Microsoft OneNote - en-us","16.0.19426.20186","Microsoft Corporation",
"Microsoft SQL Server 2008 Setup Support Files ","10.3.5500.0","Microsoft Corporation","20220930"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6","Microsoft Corporation","20200804"
"Microsoft SQL Server 2014 (64-bit)",,"Microsoft Corporation",
"Microsoft SQL Server 2014 (64-bit)",,,
"Microsoft SQL Server 2014 RsFx Driver","12.3.6179.1","Microsoft Corporation","20231020"
"Microsoft SQL Server 2014 Setup (English)","12.3.6179.1","Microsoft Corporation","20231020"
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","12.3.6179.1","Microsoft Corporation","20231020"
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1","Microsoft Corporation","20250106"
"Microsoft SQL Server Management Studio - 20.2.1","20.2.37.0","Microsoft Corporation",
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20231016"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.23.28501","Microsoft","20231103"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20240529"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20240110"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation","20210522"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729","9.0.30729","Microsoft Corporation","20220125"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20210404"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20210405"
